pixel_ID,lat,lon,utm_n,utm_e,population
2089,-12.058375974,-76.8981346375,8666276.06272,293380.803307,18
2090,-12.0584384,-76.8889514921,8666276.06272,294380.803307,16
2091,-12.0585005236,-76.8797682961,8666276.06272,295380.803307,27
2092,-12.0585623448,-76.8705850495,8666276.06272,296380.803307,15
2093,-12.0586238637,-76.8614017527,8666276.06272,297380.803307,9
2094,-12.0586850803,-76.8522184059,8666276.06272,298380.803307,8
2095,-12.0587459945,-76.8430350093,8666276.06272,299380.803307,4
2096,-12.0588066063,-76.8338515633,8666276.06272,300380.803307,15
2097,-12.0588669157,-76.824668068,8666276.06272,301380.803307,3
2098,-12.0589269228,-76.8154845237,8666276.06272,302380.803307,19
2099,-12.0589866274,-76.8063009306,8666276.06272,303380.803307,27
2100,-12.0590460297,-76.797117289,8666276.06272,304380.803307,3
2101,-12.0591051295,-76.7879335991,8666276.06272,305380.803307,1
2102,-12.059163927,-76.7787498612,8666276.06272,306380.803307,2
2103,-12.059222422,-76.7695660755,8666276.06272,307380.803307,2
2104,-12.0592806146,-76.7603822423,8666276.06272,308380.803307,0
2105,-12.0593385047,-76.7511983618,8666276.06272,309380.803307,24
2106,-12.0593960924,-76.7420144343,8666276.06272,310380.803307,126
2107,-12.0594533777,-76.7328304599,8666276.06272,311380.803307,136
2108,-12.0595103604,-76.723646439,8666276.06272,312380.803307,0
2109,-12.0595670408,-76.7144623719,8666276.06272,313380.803307,0
2110,-12.0596234186,-76.7052782586,8666276.06272,314380.803307,0
2111,-12.059679494,-76.6960940996,8666276.06272,315380.803307,0
2112,-12.0463696991,-77.2928816523,8667276.06272,250380.803307,0
2113,-12.0464450594,-77.2837012281,8667276.06272,251380.803307,0
2114,-12.0465201179,-77.2745207425,8667276.06272,252380.803307,0
2115,-12.0465948747,-77.2653401959,8667276.06272,253380.803307,0
2116,-12.0466693297,-77.2561595884,8667276.06272,254380.803307,0
2117,-12.046743483,-77.2469789204,8667276.06272,255380.803307,0
2118,-12.0468173344,-77.2377981921,8667276.06272,256380.803307,0
2119,-12.0468908842,-77.2286174036,8667276.06272,257380.803307,0
2120,-12.0469641321,-77.2194365554,8667276.06272,258380.803307,0
2121,-12.0470370782,-77.2102556476,8667276.06272,259380.803307,0
2122,-12.0471097225,-77.2010746804,8667276.06272,260380.803307,0
2123,-12.047182065,-77.1918936541,8667276.06272,261380.803307,0
2124,-12.0472541057,-77.182712569,8667276.06272,262380.803307,0
2125,-12.0473258446,-77.1735314253,8667276.06272,263380.803307,0
2126,-12.0473972816,-77.1643502232,8667276.06272,264380.803307,0
2127,-12.0474684167,-77.1551689631,8667276.06272,265380.803307,0
2128,-12.04753925,-77.145987645,8667276.06272,266380.803307,111
2129,-12.0476097815,-77.1368062694,8667276.06272,267380.803307,14021
2130,-12.047680011,-77.1276248363,8667276.06272,268380.803307,20556
2131,-12.0477499387,-77.1184433462,8667276.06272,269380.803307,21312
2132,-12.0478195644,-77.1092617991,8667276.06272,270380.803307,20531
2133,-12.0478888883,-77.1000801955,8667276.06272,271380.803307,15242
2134,-12.0479579102,-77.0908985354,8667276.06272,272380.803307,18612
2135,-12.0480266303,-77.0817168192,8667276.06272,273380.803307,24834
2136,-12.0480950484,-77.0725350471,8667276.06272,274380.803307,24373
2137,-12.0481631645,-77.0633532194,8667276.06272,275380.803307,24623
2138,-12.0482309787,-77.0541713363,8667276.06272,276380.803307,24659
2139,-12.048298491,-77.0449893979,8667276.06272,277380.803307,24484
2140,-12.0483657013,-77.0358074047,8667276.06272,278380.803307,26637
2141,-12.0484326096,-77.0266253569,8667276.06272,279380.803307,23997
2142,-12.048499216,-77.0174432546,8667276.06272,280380.803307,24392
2143,-12.0485655203,-77.0082610981,8667276.06272,281380.803307,32225
2144,-12.0486315227,-76.9990788877,8667276.06272,282380.803307,17329
2145,-12.048697223,-76.9898966236,8667276.06272,283380.803307,7589
2146,-12.0487626214,-76.9807143061,8667276.06272,284380.803307,9708
2147,-12.0488277177,-76.9715319354,8667276.06272,285380.803307,20690
2148,-12.048892512,-76.9623495118,8667276.06272,286380.803307,21753
2149,-12.0489570043,-76.9531670354,8667276.06272,287380.803307,22506
2150,-12.0490211945,-76.9439845067,8667276.06272,288380.803307,11725
2151,-12.0490850826,-76.9348019257,8667276.06272,289380.803307,8138
2152,-12.0491486687,-76.9256192927,8667276.06272,290380.803307,5643
2153,-12.0492119528,-76.9164366081,8667276.06272,291380.803307,3089
2154,-12.0492749347,-76.9072538719,8667276.06272,292380.803307,432
2155,-12.0493376146,-76.8980710846,8667276.06272,293380.803307,628
2156,-12.0493999924,-76.8888882463,8667276.06272,294380.803307,352
2157,-12.0494620681,-76.8797053572,8667276.06272,295380.803307,117
2158,-12.0495238416,-76.8705224177,8667276.06272,296380.803307,19
2159,-12.0495853131,-76.8613394279,8667276.06272,297380.803307,13
2160,-12.0496464824,-76.8521563882,8667276.06272,298380.803307,7
2161,-12.0497073496,-76.8429732987,8667276.06272,299380.803307,3
2162,-12.0497679147,-76.8337901597,8667276.06272,300380.803307,3
2163,-12.0498281776,-76.8246069715,8667276.06272,301380.803307,4
2164,-12.0498881384,-76.8154237343,8667276.06272,302380.803307,14
2165,-12.049947797,-76.8062404483,8667276.06272,303380.803307,17
2166,-12.0500071535,-76.7970571138,8667276.06272,304380.803307,1
2167,-12.0500662077,-76.787873731,8667276.06272,305380.803307,2
2168,-12.0501249598,-76.7786903002,8667276.06272,306380.803307,1
2169,-12.0501834097,-76.7695068217,8667276.06272,307380.803307,3
2170,-12.0502415574,-76.7603232956,8667276.06272,308380.803307,2
2171,-12.0502994029,-76.7511397222,8667276.06272,309380.803307,13
2172,-12.0503569462,-76.7419561018,8667276.06272,310380.803307,47
2173,-12.0504141873,-76.7327724346,8667276.06272,311380.803307,79
2174,-12.0504711261,-76.7235887209,8667276.06272,312380.803307,0
2175,-12.0505277627,-76.7144049609,8667276.06272,313380.803307,0
2176,-12.0505840971,-76.7052211548,8667276.06272,314380.803307,0
2177,-12.0506401292,-76.696037303,8667276.06272,315380.803307,0
2178,-12.0373336241,-77.2928049678,8668276.06272,250380.803307,0
2179,-12.0374089262,-77.2836248499,8668276.06272,251380.803307,0
2180,-12.0374839268,-77.2744446707,8668276.06272,252380.803307,0
2181,-12.0375586259,-77.2652644305,8668276.06272,253380.803307,0
2182,-12.0376330234,-77.2560841294,8668276.06272,254380.803307,0
2183,-12.0377071195,-77.2469037678,8668276.06272,255380.803307,0
2184,-12.037780914,-77.2377233459,8668276.06272,256380.803307,0
2185,-12.0378544069,-77.228542864,8668276.06272,257380.803307,0
2186,-12.0379275983,-77.2193623222,8668276.06272,258380.803307,0
2187,-12.0380004881,-77.2101817208,8668276.06272,259380.803307,0
2188,-12.0380730764,-77.2010010601,8668276.06272,260380.803307,0
2189,-12.0381453631,-77.1918203403,8668276.06272,261380.803307,0
2190,-12.0382173482,-77.1826395617,8668276.06272,262380.803307,0
2191,-12.0382890316,-77.1734587245,8668276.06272,263380.803307,0
2192,-12.0383604135,-77.1642778289,8668276.06272,264380.803307,0
2193,-12.0384314938,-77.1550968752,8668276.06272,265380.803307,0
2194,-12.0385022724,-77.1459158637,8668276.06272,266380.803307,57
2195,-12.0385727494,-77.1367347946,8668276.06272,267380.803307,4183
2196,-12.0386429247,-77.1275536681,8668276.06272,268380.803307,8413
2197,-12.0387127984,-77.1183724845,8668276.06272,269380.803307,9895
2198,-12.0387823704,-77.1091912441,8668276.06272,270380.803307,5950
2199,-12.0388516408,-77.100009947,8668276.06272,271380.803307,7068
2200,-12.0389206095,-77.0908285935,8668276.06272,272380.803307,19855
2201,-12.0389892765,-77.0816471839,8668276.06272,273380.803307,20838
2202,-12.0390576418,-77.0724657184,8668276.06272,274380.803307,24038
2203,-12.0391257053,-77.0632841973,8668276.06272,275380.803307,24386
2204,-12.0391934672,-77.0541026207,8668276.06272,276380.803307,23233
2205,-12.0392609274,-77.0449209891,8668276.06272,277380.803307,26176
2206,-12.0393280858,-77.0357393025,8668276.06272,278380.803307,19797
2207,-12.0393949425,-77.0265575613,8668276.06272,279380.803307,25082
2208,-12.0394614974,-77.0173757656,8668276.06272,280380.803307,13514
2209,-12.0395277506,-77.0081939158,8668276.06272,281380.803307,28199
2210,-12.039593702,-76.9990120121,8668276.06272,282380.803307,25766
2211,-12.0396593517,-76.9898300547,8668276.06272,283380.803307,21138
2212,-12.0397246995,-76.9806480439,8668276.06272,284380.803307,13508
2213,-12.0397897456,-76.9714659799,8668276.06272,285380.803307,13848
2214,-12.0398544899,-76.9622838629,8668276.06272,286380.803307,21694
2215,-12.0399189324,-76.9531016933,8668276.06272,287380.803307,23128
2216,-12.0399830731,-76.9439194712,8668276.06272,288380.803307,10333
2217,-12.0400469119,-76.934737197,8668276.06272,289380.803307,9829
2218,-12.040110449,-76.9255548708,8668276.06272,290380.803307,10444
2219,-12.0401736841,-76.9163724929,8668276.06272,291380.803307,7761
